"BIN","AT_CG_AAA(TTT)","AT_CG_AAC(GTT)","AT_CG_AAG(CTT)","AT_CG_AAT(ATT)","AT_CG_CAA(TTG)","AT_CG_CAC(GTG)","AT_CG_CAG(CTG)","AT_CG_CAT(ATG)","AT_CG_GAA(TTC)","AT_CG_GAC(GTC)","AT_CG_GAG(CTC)","AT_CG_GAT(ATC)","AT_CG_TAA(TTA)","AT_CG_TAC(GTA)","AT_CG_TAG(CTA)","AT_CG_TAT(ATA)","AT_GC_AAA(TTT)","AT_GC_AAC(GTT)","AT_GC_AAG(CTT)","AT_GC_AAT(ATT)","AT_GC_CAA(TTG)","AT_GC_CAC(GTG)","AT_GC_CAG(CTG)","AT_GC_CAT(ATG)","AT_GC_GAA(TTC)","AT_GC_GAC(GTC)","AT_GC_GAG(CTC)","AT_GC_GAT(ATC)","AT_GC_TAA(TTA)","AT_GC_TAC(GTA)","AT_GC_TAG(CTA)","AT_GC_TAT(ATA)","AT_TA_AAA(TTT)","AT_TA_AAC(GTT)","AT_TA_AAG(CTT)","AT_TA_AAT(ATT)","AT_TA_CAA(TTG)","AT_TA_CAC(GTG)","AT_TA_CAG(CTG)","AT_TA_CAT(ATG)","AT_TA_GAA(TTC)","AT_TA_GAC(GTC)","AT_TA_GAG(CTC)","AT_TA_GAT(ATC)","AT_TA_TAA(TTA)","AT_TA_TAC(GTA)","AT_TA_TAG(CTA)","AT_TA_TAT(ATA)","GC_AT_ACA(TGT)","GC_AT_ACC(GGT)","GC_AT_ACG(CGT)","GC_AT_ACT(AGT)","GC_AT_CCA(TGG)","GC_AT_CCC(GGG)","GC_AT_CCG(CGG)","GC_AT_CCT(AGG)","GC_AT_GCA(TGC)","GC_AT_GCC(GGC)","GC_AT_GCG(CGC)","GC_AT_GCT(AGC)","GC_AT_TCA(TGA)","GC_AT_TCC(GGA)","GC_AT_TCG(CGA)","GC_AT_TCT(AGA)","GC_CG_ACA(TGT)","GC_CG_ACC(GGT)","GC_CG_ACG(CGT)","GC_CG_ACT(AGT)","GC_CG_CCA(TGG)","GC_CG_CCC(GGG)","GC_CG_CCG(CGG)","GC_CG_CCT(AGG)","GC_CG_GCA(TGC)","GC_CG_GCC(GGC)","GC_CG_GCG(CGC)","GC_CG_GCT(AGC)","GC_CG_TCA(TGA)","GC_CG_TCC(GGA)","GC_CG_TCG(CGA)","GC_CG_TCT(AGA)","GC_TA_ACA(TGT)","GC_TA_ACC(GGT)","GC_TA_ACG(CGT)","GC_TA_ACT(AGT)","GC_TA_CCA(TGG)","GC_TA_CCC(GGG)","GC_TA_CCG(CGG)","GC_TA_CCT(AGG)","GC_TA_GCA(TGC)","GC_TA_GCC(GGC)","GC_TA_GCG(CGC)","GC_TA_GCT(AGC)","GC_TA_TCA(TGA)","GC_TA_TCC(GGA)","GC_TA_TCG(CGA)","GC_TA_TCT(AGA)"
1,5,1,2,2,3,0,0,1,2,2,2,1,2,0,1,1,7,5,1,4,3,6,4,8,4,3,4,3,2,5,4,16,2,0,2,1,0,1,1,3,0,1,1,3,0,0,1,2,12,5,16,5,3,9,6,7,7,6,14,2,3,5,7,7,5,2,0,1,1,0,0,3,2,1,0,1,6,1,0,2,2,1,0,1,1,4,0,3,1,2,0,1,3,0,0,2
2,5,3,3,10,5,5,4,3,2,1,0,1,1,0,2,2,14,9,5,29,7,7,12,22,9,5,6,8,7,9,13,35,5,4,2,2,1,4,1,8,2,4,0,2,5,1,3,9,35,15,35,15,13,10,23,17,15,16,20,13,17,16,31,20,10,1,1,11,6,2,0,3,5,2,0,8,5,5,2,6,10,9,2,9,3,7,1,5,9,5,1,1,4,2,1,11
3,7,0,0,5,5,1,6,4,1,3,7,3,3,1,0,5,12,10,8,19,9,9,11,15,6,1,12,12,11,6,6,23,0,4,3,4,3,3,6,3,1,4,4,3,4,2,1,0,21,14,32,23,22,17,40,21,18,11,29,18,17,18,28,20,4,4,1,6,4,3,1,3,3,4,2,7,3,6,4,5,6,10,4,2,3,5,1,2,6,2,2,4,6,9,2,10
4,6,0,2,2,4,1,4,7,5,3,4,3,1,0,2,4,6,4,10,16,12,10,9,22,4,3,6,10,5,6,9,15,2,3,3,1,3,2,2,4,0,0,5,7,0,0,3,2,21,18,44,10,26,20,59,22,17,17,50,9,12,21,31,11,3,2,0,5,7,7,3,7,5,2,4,3,5,5,0,10,4,11,0,4,10,6,3,1,8,4,4,4,0,3,3,7
5,2,2,1,6,6,4,3,6,2,2,3,1,3,0,1,2,16,7,7,26,11,12,16,21,6,5,5,5,12,9,10,29,5,1,1,3,2,2,2,3,1,1,1,3,9,2,1,3,37,7,37,16,24,13,40,16,10,14,29,16,13,10,27,12,2,6,1,5,4,2,2,8,2,8,2,5,4,4,3,11,3,10,2,1,5,1,2,2,6,7,7,2,3,2,0,3
6,10,2,0,2,9,4,8,5,1,1,7,2,2,1,1,0,8,13,8,21,13,11,12,25,7,1,8,9,10,8,7,26,6,2,5,4,2,3,4,1,3,3,3,3,2,2,2,3,23,13,38,8,16,21,35,17,16,23,37,12,15,17,28,15,7,1,1,5,5,6,1,10,3,6,7,4,4,5,2,7,6,5,3,2,7,6,2,5,6,10,4,3,3,3,3,3
7,4,2,3,5,3,2,6,2,5,0,2,2,0,1,1,1,4,6,12,19,4,10,11,14,6,5,9,6,8,4,4,19,4,2,1,3,0,3,0,3,0,3,1,4,4,0,1,3,14,19,35,11,17,33,37,20,14,21,40,21,11,21,31,13,8,2,4,8,2,10,3,6,8,3,3,9,6,5,5,8,3,8,3,5,3,8,3,3,9,3,3,9,3,6,0,4
8,7,0,1,4,5,1,3,6,2,1,3,1,2,1,1,1,15,11,7,19,14,11,13,20,7,3,12,7,8,7,7,22,4,3,3,0,2,0,3,5,2,3,2,5,6,2,1,2,14,15,45,11,18,17,50,23,9,17,34,10,14,20,42,18,7,3,1,3,3,7,2,2,1,3,1,6,2,4,0,6,7,8,0,3,10,6,3,3,7,6,3,3,4,5,4,7
9,3,2,4,4,2,6,6,2,2,3,3,1,0,1,0,2,8,6,5,13,8,5,15,12,5,7,6,11,5,7,2,15,2,1,0,3,1,4,5,7,2,3,2,5,2,0,3,1,26,10,32,12,19,13,46,21,12,32,31,10,6,17,30,13,2,8,1,8,2,4,2,5,2,6,1,5,6,9,2,9,8,10,1,3,5,2,6,9,4,5,4,3,3,9,2,1
10,4,2,2,5,2,1,2,5,3,2,1,4,1,0,2,1,11,11,1,15,5,6,10,18,10,3,3,9,8,6,11,17,4,0,3,3,3,2,3,3,1,6,2,4,2,2,3,1,24,12,38,12,18,27,39,22,14,16,36,17,22,25,33,15,6,5,2,4,6,8,4,6,2,7,0,4,5,10,1,5,3,8,4,1,5,9,2,3,8,3,2,3,5,4,0,10
11,2,0,7,4,8,8,4,8,2,1,0,1,3,3,2,3,10,10,13,26,7,4,9,19,5,5,7,12,12,7,9,19,8,3,2,3,2,2,3,5,2,3,3,1,3,1,4,3,24,15,43,8,15,11,30,21,11,12,10,10,11,7,22,12,7,3,1,4,4,3,1,8,2,3,0,3,4,3,0,11,4,7,0,1,5,2,1,3,6,4,2,6,2,4,3,3
12,9,6,5,3,3,4,4,2,1,1,2,1,4,0,0,3,9,15,13,23,6,4,13,25,4,5,5,9,12,8,7,26,2,1,1,2,1,2,4,5,3,3,2,10,4,3,0,5,26,22,21,15,15,25,29,26,12,16,28,22,8,17,19,21,5,2,0,5,4,9,1,8,2,5,2,4,4,5,1,9,6,10,1,3,1,7,2,2,5,7,3,1,3,11,1,4
13,8,5,6,0,4,7,0,5,2,0,2,3,2,0,2,1,3,6,8,24,9,14,8,20,4,6,3,9,10,3,10,28,3,3,3,1,0,0,5,7,2,4,3,3,7,1,3,1,17,16,39,12,14,22,32,20,6,13,22,10,10,14,19,13,6,3,1,6,2,5,0,4,7,4,2,3,11,2,2,12,6,2,1,1,4,4,2,3,7,6,2,5,3,7,0,8
14,6,2,0,3,7,2,5,6,2,2,2,2,2,1,4,3,10,10,12,23,8,6,15,25,6,0,9,5,11,5,3,26,5,1,0,3,2,2,5,2,2,2,3,2,3,2,0,1,23,6,36,17,20,15,30,14,10,7,22,10,12,12,25,15,2,1,2,2,4,4,0,9,6,3,4,3,9,4,2,6,8,10,2,5,5,2,2,3,4,4,0,1,1,6,2,6
15,7,3,3,1,3,6,5,6,2,2,4,1,3,1,2,2,17,14,4,21,7,12,12,19,8,9,7,7,17,12,7,38,2,2,2,5,2,2,2,8,1,4,2,5,4,3,4,6,19,18,37,12,15,12,36,14,9,20,21,14,18,14,30,18,6,5,4,6,0,5,1,3,4,3,0,3,6,7,3,5,6,8,1,5,7,5,0,2,6,3,0,3,5,8,0,3
16,6,2,1,6,3,4,6,5,2,0,1,0,1,0,1,2,9,7,8,18,6,3,10,8,4,7,4,14,8,4,6,14,5,0,0,3,2,1,1,2,2,0,0,8,5,3,0,2,22,13,22,13,14,11,13,12,6,9,22,14,13,8,17,14,6,2,2,1,3,1,0,3,1,1,0,4,3,3,2,6,8,3,4,6,4,2,0,7,3,5,2,3,2,6,2,9
17,8,2,0,3,5,2,1,1,4,0,1,2,1,2,1,1,15,11,5,27,8,5,16,15,7,4,7,13,10,9,9,22,6,3,2,5,2,1,2,8,1,4,1,9,2,1,2,3,25,13,35,9,19,15,29,27,13,13,21,14,21,18,20,19,4,3,0,4,7,4,0,4,3,2,0,1,4,7,3,10,6,10,5,3,3,10,1,6,10,13,3,7,8,10,0,6
18,4,2,1,6,3,1,5,6,4,0,1,0,2,0,2,3,17,8,8,14,6,12,11,24,4,3,6,8,11,8,3,20,0,1,1,3,2,0,2,5,2,4,1,3,5,1,0,7,21,15,47,15,13,16,34,21,11,12,23,10,8,13,19,10,4,4,2,6,0,5,3,5,4,4,1,3,8,7,0,9,3,10,2,3,5,3,1,4,5,7,2,2,10,8,1,7
19,2,1,1,3,2,2,8,8,3,2,2,2,2,2,1,0,13,6,9,14,7,8,12,12,1,2,8,6,9,6,6,16,4,1,1,0,2,6,4,5,1,2,4,3,1,1,0,1,15,19,46,16,12,24,46,30,17,20,28,20,16,21,43,12,8,2,4,3,5,7,2,5,6,6,3,4,4,8,4,10,8,12,0,5,6,6,0,1,8,11,3,3,1,6,0,7
20,8,0,3,5,2,2,1,6,3,2,5,3,4,1,1,1,11,8,6,22,6,10,10,22,5,9,11,4,13,5,4,17,1,4,1,4,2,2,3,3,4,2,2,2,2,1,0,2,15,22,39,17,12,8,45,26,11,20,30,17,14,14,19,16,3,1,0,6,9,7,2,5,4,1,0,6,5,6,2,8,5,11,1,7,6,6,1,4,6,6,6,0,5,7,0,1
21,8,3,4,2,1,2,2,5,3,0,2,1,1,1,0,3,14,9,10,29,7,9,9,20,9,8,7,10,13,12,9,26,3,0,2,1,4,2,5,5,4,4,3,4,5,1,3,5,24,21,32,28,23,11,30,30,13,14,19,13,20,16,12,13,3,0,2,4,2,5,1,9,3,4,2,4,5,6,3,9,5,9,0,4,4,5,2,4,5,12,2,3,5,3,2,2
22,8,4,3,4,4,3,5,5,3,2,3,3,0,2,1,2,11,12,10,18,11,8,11,16,8,5,9,4,11,5,9,19,5,2,1,4,1,3,7,6,0,3,0,3,0,1,2,5,13,18,45,18,16,17,41,21,16,15,30,16,18,19,30,11,6,7,0,4,2,7,3,9,0,1,0,0,3,4,3,6,5,10,1,3,4,4,1,0,3,5,4,5,2,4,1,8
23,7,7,0,3,5,3,2,3,1,1,3,1,1,1,0,1,17,9,4,19,11,8,12,21,7,7,5,10,11,7,6,10,1,0,1,5,0,2,5,4,1,0,3,4,3,2,2,6,16,14,44,12,21,11,49,26,12,14,46,17,11,16,25,14,6,1,4,4,4,4,0,7,3,5,2,6,3,6,0,8,2,6,1,2,8,6,4,5,9,9,2,3,1,5,0,4
24,6,4,1,1,2,1,8,2,4,2,2,5,4,0,0,2,9,9,10,17,2,7,7,26,7,6,5,8,7,6,6,11,4,5,2,7,4,1,5,3,0,4,2,7,7,2,0,7,20,11,48,20,19,22,55,18,15,17,39,17,8,12,34,11,6,0,0,1,4,4,1,5,2,6,0,1,4,5,1,5,6,11,2,4,6,2,3,5,4,9,2,4,4,9,1,7
25,7,1,4,1,5,4,2,3,2,0,1,2,3,1,3,4,12,9,13,23,10,20,13,18,5,2,6,11,15,9,8,22,9,1,0,4,2,5,1,4,2,0,1,4,4,1,1,1,19,6,37,11,10,14,23,15,8,7,32,12,10,16,22,12,2,4,2,6,4,3,0,5,1,3,1,3,3,5,0,12,4,5,2,2,6,4,2,1,5,7,2,0,5,5,0,4
26,3,4,6,3,6,3,10,6,6,3,4,2,7,0,0,2,11,10,8,20,7,10,16,12,8,8,8,7,10,8,5,17,3,2,1,2,1,3,3,2,0,2,0,2,5,1,2,7,16,11,34,18,12,12,38,20,12,14,32,12,13,9,21,18,9,5,2,7,1,2,2,5,3,7,2,1,2,10,0,5,3,6,2,4,8,2,1,8,6,4,5,1,1,6,2,2
27,6,1,4,2,3,4,4,3,4,0,1,1,0,1,3,1,11,6,12,14,6,8,14,10,2,7,8,5,2,5,4,14,4,1,1,4,3,1,8,1,2,1,2,7,2,3,1,1,23,19,43,8,25,17,46,19,18,17,36,16,12,23,29,17,7,2,2,7,9,6,0,5,6,1,3,2,2,7,3,3,4,9,3,4,6,3,0,2,4,4,2,2,7,4,0,8
28,7,2,3,3,3,4,2,4,1,2,3,0,5,1,0,4,4,13,6,9,7,4,8,19,9,6,8,2,2,6,5,23,2,2,1,2,1,5,3,1,2,0,1,3,6,0,0,1,21,16,37,17,12,21,46,20,10,18,36,19,12,18,25,11,2,4,1,3,2,4,5,2,2,4,3,4,5,6,2,12,2,7,3,4,6,9,1,5,4,2,2,5,4,4,1,5
29,5,0,5,3,1,4,3,4,1,0,2,1,2,3,3,0,10,8,10,21,2,6,10,19,5,7,5,6,6,7,6,31,6,3,1,3,2,2,5,7,2,3,1,4,2,2,0,4,17,21,29,12,13,12,36,20,12,12,42,10,14,12,27,18,4,6,1,4,3,8,1,4,4,1,5,3,4,6,0,5,3,10,1,4,3,7,2,1,5,4,2,2,5,0,1,1
30,6,1,3,7,8,3,2,2,1,2,3,0,5,2,1,2,14,5,17,19,8,12,13,17,7,4,7,13,12,9,12,22,1,3,1,4,3,5,4,2,0,3,2,7,5,1,2,1,33,17,33,10,12,18,37,13,10,16,32,11,15,10,38,18,5,4,0,6,0,4,2,6,3,4,0,3,7,5,1,12,5,9,3,3,2,7,1,1,5,2,3,2,4,5,0,3
31,4,1,1,0,5,7,10,2,2,1,1,0,2,1,0,1,8,7,9,11,8,8,21,17,3,3,2,7,7,7,8,11,1,2,1,1,0,4,2,4,2,3,3,2,2,1,0,2,21,15,26,14,14,17,63,15,13,18,54,9,13,10,43,14,4,1,6,7,4,4,2,4,2,6,1,2,4,5,3,11,3,4,5,2,2,6,2,3,2,6,5,4,3,3,2,6
32,7,2,1,4,3,3,3,6,1,1,2,1,2,2,0,1,6,3,10,19,4,8,6,21,4,5,5,7,5,9,7,9,2,2,0,2,1,3,3,2,2,0,1,3,3,2,0,1,17,14,27,16,17,26,51,19,13,18,29,11,16,14,45,14,2,5,3,4,6,7,2,11,4,5,3,3,6,8,3,3,2,8,2,0,4,2,0,3,5,4,4,6,2,7,1,5
33,15,2,2,1,3,4,3,1,3,1,2,1,0,2,0,2,6,9,4,15,9,7,9,18,4,2,6,9,7,9,6,16,1,0,3,1,4,1,2,2,0,0,2,3,4,2,2,0,18,15,41,14,21,22,54,20,12,11,35,10,18,12,29,15,4,3,1,6,4,2,3,5,3,3,2,4,5,6,2,12,6,5,1,3,6,7,5,2,10,12,3,3,2,5,3,5
34,9,0,6,6,8,3,6,6,2,1,2,4,1,4,0,2,17,5,10,21,7,14,13,17,5,4,8,6,10,5,9,39,5,2,4,5,0,1,3,3,1,3,2,7,6,3,0,2,26,14,26,17,16,10,26,23,8,12,30,20,14,8,17,16,6,2,0,5,2,7,1,7,4,6,2,2,7,4,2,9,4,1,1,5,6,2,1,2,4,4,2,5,1,6,3,3
35,9,1,4,2,3,1,1,5,8,2,8,2,2,2,0,6,12,18,6,17,8,14,9,23,6,4,4,9,11,8,13,28,5,1,2,6,2,2,2,3,2,1,2,5,2,1,1,3,22,12,32,10,19,6,31,16,14,15,33,11,17,10,21,16,7,1,1,1,2,4,2,5,3,1,0,4,8,6,0,14,3,0,0,3,0,4,1,5,3,5,5,1,3,3,1,8
36,8,4,5,4,4,3,5,5,2,1,3,1,4,1,1,3,17,10,9,23,6,7,7,19,10,2,4,13,10,11,4,37,8,0,1,2,3,1,1,4,0,2,0,7,5,0,2,5,24,17,39,14,16,15,16,14,10,9,19,5,15,12,15,12,3,2,0,5,1,1,0,8,0,0,0,5,4,3,1,13,4,6,0,5,2,2,1,2,7,4,2,1,7,1,0,7
37,6,4,2,2,2,3,4,1,2,1,1,1,0,0,0,2,8,6,7,18,4,3,10,17,2,4,10,5,6,5,4,12,3,2,1,2,2,1,1,5,0,4,4,5,3,1,0,3,18,17,39,8,29,19,42,25,19,17,42,18,12,13,37,11,7,4,2,7,2,5,4,2,3,3,1,4,2,12,2,11,4,3,3,4,7,6,3,2,7,6,3,6,0,4,1,3
38,5,3,1,1,4,4,5,2,1,6,6,0,0,1,0,0,12,7,7,16,5,6,16,14,4,3,11,5,3,3,3,12,4,2,2,3,2,2,5,4,2,3,3,2,1,0,1,1,14,16,26,10,27,22,50,21,16,13,42,9,17,16,18,13,6,3,1,4,5,7,2,8,5,4,4,5,2,3,3,9,4,4,0,5,2,2,3,3,4,10,8,3,2,7,4,0
39,6,4,2,1,4,8,2,3,1,1,5,1,3,2,3,0,16,4,14,17,9,10,15,17,4,3,12,8,6,11,10,17,3,1,0,2,1,2,8,6,0,0,1,3,7,0,0,2,8,20,48,19,24,12,59,19,11,20,50,18,14,11,50,9,0,3,2,2,6,6,1,10,4,3,1,7,4,8,4,16,10,8,1,2,3,9,2,3,2,6,4,4,2,5,1,4
40,9,4,5,3,3,2,7,4,3,2,3,2,4,2,2,4,18,8,13,25,4,9,9,13,8,5,7,5,13,5,6,16,3,1,1,4,4,6,3,5,1,1,5,2,6,4,1,2,19,5,34,20,12,10,33,18,4,11,26,7,11,13,27,12,12,3,0,6,5,4,2,5,1,1,0,4,5,1,0,8,4,5,1,4,4,7,1,2,3,7,2,3,2,2,0,4
41,4,2,3,7,3,2,6,3,3,2,4,1,4,2,1,1,11,17,10,19,10,10,19,17,8,4,5,6,10,10,6,15,5,1,2,0,1,1,4,6,3,4,4,2,4,1,0,2,14,16,23,14,19,21,41,23,18,17,23,15,10,14,28,22,4,3,0,1,2,2,2,4,2,4,0,4,4,5,7,9,5,5,2,8,5,4,1,6,8,8,3,3,3,3,1,8
42,3,2,3,1,3,5,4,3,1,1,3,1,5,0,1,0,11,8,6,10,4,10,19,9,4,2,7,12,6,8,13,17,6,3,2,3,1,5,3,2,1,3,4,1,0,0,0,1,15,9,25,7,17,23,51,23,12,18,33,11,9,17,30,10,3,1,1,6,3,2,1,1,7,4,2,4,2,7,1,4,7,8,0,7,1,4,1,2,4,3,5,5,3,2,0,5
43,3,3,4,1,1,3,6,1,2,0,0,2,1,2,3,5,11,5,9,19,5,8,10,17,6,8,4,8,6,4,2,17,0,1,1,1,2,3,0,3,2,3,0,4,5,0,1,1,19,12,33,13,17,12,39,19,12,15,25,13,16,13,21,11,4,2,1,8,3,6,1,5,4,1,3,1,2,4,1,6,8,6,1,3,4,8,3,3,6,4,1,4,3,4,1,7
44,7,0,1,0,8,5,7,8,5,3,0,2,4,1,2,4,10,11,8,21,10,8,9,21,8,9,8,7,14,7,11,22,3,2,0,4,3,2,4,2,1,0,1,4,2,4,0,2,24,12,41,21,15,15,36,19,17,22,22,17,9,10,27,17,3,6,0,5,4,6,1,3,4,4,1,5,1,4,1,5,3,6,3,4,7,5,0,2,5,2,1,4,2,4,0,4
45,3,2,4,2,2,5,3,5,5,1,2,2,3,1,0,3,19,11,8,22,11,6,9,25,4,4,5,6,12,7,2,36,4,0,0,3,1,2,3,8,4,2,2,4,4,3,1,3,25,14,40,19,12,15,26,15,10,13,19,17,15,15,32,20,6,1,0,4,2,5,1,6,2,0,0,3,3,8,0,7,12,7,3,4,8,4,1,2,7,4,0,2,3,2,2,7
46,7,5,4,4,5,1,1,7,4,3,1,3,3,1,0,4,15,9,12,18,10,8,14,34,10,13,9,9,8,10,5,32,6,4,1,2,2,5,5,6,1,3,3,7,3,0,2,4,27,13,33,12,14,14,32,16,11,11,19,17,15,13,19,16,7,0,0,2,1,9,3,7,1,2,1,3,7,6,2,8,7,8,0,8,4,2,0,2,11,7,2,4,4,3,2,6
47,4,0,3,4,2,4,5,10,2,1,1,1,5,2,2,1,12,6,9,14,6,4,13,25,4,5,9,5,9,6,6,21,6,3,3,8,1,5,3,6,4,3,2,2,4,1,3,2,24,8,45,14,11,9,24,17,16,15,27,10,18,13,15,14,7,5,1,4,2,5,2,2,3,3,0,4,7,7,1,7,7,8,3,0,8,7,0,2,4,10,0,1,2,3,1,5
48,5,4,3,1,5,2,3,5,2,3,1,1,4,2,0,4,7,16,7,21,6,8,12,20,5,2,11,6,10,8,7,15,2,1,4,2,2,1,6,6,1,3,4,8,2,1,0,5,21,14,45,8,14,22,42,16,16,17,30,15,16,11,26,14,3,3,0,2,7,5,0,2,2,8,0,9,6,4,2,11,6,7,3,3,8,6,4,5,6,4,5,3,8,6,1,5
49,3,1,2,2,4,3,1,2,4,0,4,1,2,0,1,1,6,6,12,14,8,11,15,22,3,6,6,11,12,10,10,27,4,1,2,5,0,5,0,7,2,2,1,6,4,1,1,4,15,7,53,14,16,14,49,12,12,13,39,11,14,15,29,9,6,4,0,4,3,7,2,4,0,5,2,5,2,2,3,4,6,7,3,1,4,7,1,0,5,5,3,4,1,6,0,5
50,12,2,0,2,3,7,6,1,3,0,5,1,4,0,0,3,16,10,11,13,9,8,11,17,8,4,9,5,9,7,11,27,5,2,0,3,3,2,1,6,1,1,2,7,4,4,1,3,25,22,47,12,16,18,59,15,16,10,44,12,7,7,30,14,3,4,0,5,8,4,1,8,3,3,1,4,7,5,6,6,5,7,2,3,4,5,2,5,4,4,3,5,1,6,1,10
51,9,3,0,1,5,3,3,5,2,5,3,1,5,1,1,4,18,9,7,17,4,7,13,8,5,6,8,10,5,5,8,24,3,1,3,1,2,0,2,3,4,1,3,4,4,1,1,3,22,7,29,13,15,14,44,17,18,12,47,11,12,10,29,17,8,9,6,11,1,5,1,2,1,4,0,2,9,2,1,10,5,8,2,5,2,7,2,2,4,3,1,3,2,2,2,5
52,6,2,4,1,5,3,2,2,3,3,4,3,1,2,2,2,13,6,8,15,8,7,17,23,6,3,4,7,9,3,7,32,8,0,3,4,2,1,0,5,4,0,1,4,6,2,1,2,13,16,26,15,15,29,43,20,20,14,30,9,10,14,34,18,3,2,0,4,5,3,4,5,1,7,1,7,3,2,2,5,5,8,1,5,1,9,2,0,1,5,4,4,5,7,1,4
53,8,2,3,3,3,2,3,4,5,1,1,3,3,0,3,1,19,14,12,18,9,9,12,28,4,5,6,13,10,10,6,24,6,1,1,1,1,1,1,1,1,0,4,4,3,0,0,3,30,15,29,13,18,6,22,10,20,13,22,13,17,21,22,10,7,5,4,8,6,4,2,3,1,0,1,3,2,6,1,12,11,10,3,3,6,3,1,2,4,6,2,2,5,3,0,4
54,11,2,2,5,3,4,3,5,6,1,4,1,1,2,1,1,6,12,9,25,6,5,10,22,8,2,5,10,13,10,2,17,4,1,0,1,1,2,1,8,4,1,1,4,4,2,0,1,24,19,34,17,10,12,33,23,8,10,22,11,12,13,14,16,6,4,0,6,7,2,0,3,1,5,2,4,6,3,0,7,5,6,1,1,5,3,2,5,9,8,0,4,7,4,0,5
55,12,1,2,4,7,2,5,6,3,5,5,3,3,1,0,4,9,13,12,22,8,6,12,19,1,6,12,8,9,6,3,20,2,3,2,0,1,2,2,6,2,1,2,5,2,2,3,3,17,16,36,19,16,21,35,22,7,13,30,17,12,14,28,6,5,2,1,3,6,9,3,4,3,2,1,3,4,5,0,7,4,9,0,0,3,5,3,5,7,9,6,3,3,4,2,5
56,9,2,2,3,7,4,1,3,2,1,1,2,1,1,0,3,12,9,12,24,6,6,11,28,6,4,9,6,9,7,6,28,6,0,2,8,2,1,1,2,0,4,2,5,5,4,1,5,15,15,30,15,9,13,27,18,8,7,33,16,6,10,22,10,7,3,1,4,2,3,1,7,3,4,1,2,5,3,0,9,7,6,4,5,3,2,2,3,4,3,2,1,6,7,1,5
57,5,1,3,4,1,2,3,4,2,2,8,2,5,1,1,1,11,11,6,18,10,6,23,17,6,8,7,10,5,7,8,16,7,4,3,4,1,7,7,3,0,2,3,4,6,1,3,4,28,12,45,13,25,14,48,22,11,15,46,20,15,15,25,16,3,3,5,5,3,4,4,3,1,3,1,1,7,3,3,5,5,7,1,4,5,6,0,3,9,6,2,1,5,5,1,3
58,10,4,5,3,3,3,6,6,1,2,2,0,0,1,1,0,11,7,6,14,6,11,13,18,7,1,9,4,7,7,7,21,1,0,1,2,3,3,4,3,1,1,3,4,3,2,1,1,24,12,38,16,18,9,45,17,12,14,27,13,16,12,21,14,3,2,3,6,6,1,1,3,2,3,3,2,6,4,2,8,6,5,0,3,2,0,2,5,7,5,6,1,6,4,1,6
59,10,3,7,1,1,4,6,3,1,1,1,3,1,1,0,2,18,14,13,23,14,4,7,25,7,2,5,4,10,8,9,30,4,0,6,6,1,1,0,6,1,3,3,5,2,0,0,5,24,11,35,10,4,13,36,20,11,15,28,7,16,9,28,18,2,6,2,10,3,4,2,2,5,3,1,4,3,8,0,6,4,4,2,6,5,2,1,7,6,7,2,2,9,5,0,3
60,6,2,1,0,2,4,2,2,0,1,1,3,6,2,2,6,12,5,11,24,8,12,12,17,8,5,2,6,8,9,10,24,7,1,3,2,1,5,5,3,1,5,1,5,8,0,1,3,27,5,31,18,20,11,36,17,16,10,15,20,16,16,26,11,8,7,0,6,5,4,1,3,4,3,0,7,6,5,1,9,7,3,3,3,2,2,2,3,4,2,1,2,2,5,0,5
61,5,2,2,6,7,2,3,5,1,0,4,3,4,4,0,1,8,7,10,27,6,6,11,27,5,1,8,6,13,6,10,18,3,2,2,6,3,2,6,7,2,1,3,5,2,3,0,4,24,13,27,5,18,8,47,23,3,12,31,13,14,13,27,14,7,2,2,5,5,3,1,1,3,1,0,3,8,3,0,6,5,6,1,2,6,9,1,0,5,6,4,0,1,3,1,4
62,6,5,6,2,4,0,1,8,2,0,3,2,2,1,2,3,18,10,7,25,7,7,11,21,7,10,2,9,14,10,8,33,4,4,2,0,4,0,3,6,6,4,2,3,7,1,2,2,30,18,34,19,22,14,29,17,12,14,20,8,12,13,20,21,6,5,2,7,0,3,1,4,2,4,0,3,8,5,1,11,3,11,0,4,8,5,1,3,6,6,1,4,2,3,1,7
63,10,1,6,4,6,2,5,7,5,0,2,2,5,4,1,6,12,8,13,21,6,14,10,30,5,3,3,6,6,13,12,45,3,5,1,5,1,2,2,10,3,3,1,4,3,0,1,4,32,23,24,21,18,8,24,16,12,19,16,21,7,10,15,16,9,2,1,4,3,3,2,5,2,5,0,2,3,5,0,11,6,5,1,6,4,5,1,4,5,4,1,4,9,8,0,6
64,12,7,4,6,3,4,4,6,4,2,2,0,2,3,2,3,20,9,13,27,7,7,8,18,13,5,5,9,19,10,8,33,6,1,1,6,0,5,0,7,2,2,6,4,1,2,2,5,35,10,25,17,9,8,17,13,8,9,12,9,20,11,21,20,3,3,1,2,3,1,0,6,2,3,0,1,3,4,2,8,3,8,1,4,7,2,0,2,9,7,2,1,5,7,3,9
