"BIN","AT_CG_AAA(TTT)","AT_CG_AAC(GTT)","AT_CG_AAG(CTT)","AT_CG_AAT(ATT)","AT_CG_CAA(TTG)","AT_CG_CAC(GTG)","AT_CG_CAG(CTG)","AT_CG_CAT(ATG)","AT_CG_GAA(TTC)","AT_CG_GAC(GTC)","AT_CG_GAG(CTC)","AT_CG_GAT(ATC)","AT_CG_TAA(TTA)","AT_CG_TAC(GTA)","AT_CG_TAG(CTA)","AT_CG_TAT(ATA)","AT_GC_AAA(TTT)","AT_GC_AAC(GTT)","AT_GC_AAG(CTT)","AT_GC_AAT(ATT)","AT_GC_CAA(TTG)","AT_GC_CAC(GTG)","AT_GC_CAG(CTG)","AT_GC_CAT(ATG)","AT_GC_GAA(TTC)","AT_GC_GAC(GTC)","AT_GC_GAG(CTC)","AT_GC_GAT(ATC)","AT_GC_TAA(TTA)","AT_GC_TAC(GTA)","AT_GC_TAG(CTA)","AT_GC_TAT(ATA)","AT_TA_AAA(TTT)","AT_TA_AAC(GTT)","AT_TA_AAG(CTT)","AT_TA_AAT(ATT)","AT_TA_CAA(TTG)","AT_TA_CAC(GTG)","AT_TA_CAG(CTG)","AT_TA_CAT(ATG)","AT_TA_GAA(TTC)","AT_TA_GAC(GTC)","AT_TA_GAG(CTC)","AT_TA_GAT(ATC)","AT_TA_TAA(TTA)","AT_TA_TAC(GTA)","AT_TA_TAG(CTA)","AT_TA_TAT(ATA)","GC_AT_ACA(TGT)","GC_AT_ACC(GGT)","GC_AT_ACG(CGT)","GC_AT_ACT(AGT)","GC_AT_CCA(TGG)","GC_AT_CCC(GGG)","GC_AT_CCG(CGG)","GC_AT_CCT(AGG)","GC_AT_GCA(TGC)","GC_AT_GCC(GGC)","GC_AT_GCG(CGC)","GC_AT_GCT(AGC)","GC_AT_TCA(TGA)","GC_AT_TCC(GGA)","GC_AT_TCG(CGA)","GC_AT_TCT(AGA)","GC_CG_ACA(TGT)","GC_CG_ACC(GGT)","GC_CG_ACG(CGT)","GC_CG_ACT(AGT)","GC_CG_CCA(TGG)","GC_CG_CCC(GGG)","GC_CG_CCG(CGG)","GC_CG_CCT(AGG)","GC_CG_GCA(TGC)","GC_CG_GCC(GGC)","GC_CG_GCG(CGC)","GC_CG_GCT(AGC)","GC_CG_TCA(TGA)","GC_CG_TCC(GGA)","GC_CG_TCG(CGA)","GC_CG_TCT(AGA)","GC_TA_ACA(TGT)","GC_TA_ACC(GGT)","GC_TA_ACG(CGT)","GC_TA_ACT(AGT)","GC_TA_CCA(TGG)","GC_TA_CCC(GGG)","GC_TA_CCG(CGG)","GC_TA_CCT(AGG)","GC_TA_GCA(TGC)","GC_TA_GCC(GGC)","GC_TA_GCG(CGC)","GC_TA_GCT(AGC)","GC_TA_TCA(TGA)","GC_TA_TCC(GGA)","GC_TA_TCG(CGA)","GC_TA_TCT(AGA)"
555,6,5,3,3,5,0,3,4,5,1,4,2,1,1,0,2,11,7,15,11,7,9,19,17,9,14,5,7,11,8,5,22,3,3,1,1,2,3,5,6,3,0,2,5,2,2,0,3,17,15,43,17,17,21,52,20,22,13,36,19,12,17,36,16,3,2,3,3,3,3,1,5,1,4,0,3,6,3,0,8,6,8,1,2,5,2,0,8,1,1,5,10,2,10,0,1
556,7,3,0,3,6,2,8,3,1,1,0,0,3,0,1,0,11,13,16,18,6,3,13,14,2,7,7,7,7,4,6,13,6,3,2,4,2,5,4,8,0,2,0,5,7,3,1,4,26,21,48,20,20,26,46,22,13,17,39,18,15,13,30,5,4,4,1,1,2,2,2,3,1,4,6,6,6,6,0,12,9,7,4,4,2,6,0,2,4,8,3,3,5,5,6,8
557,6,3,2,3,3,2,4,7,0,2,3,3,3,2,2,0,7,12,4,11,8,11,12,22,9,7,5,9,2,2,5,11,3,2,2,2,2,1,2,4,1,2,0,7,2,1,2,1,19,15,69,13,16,21,41,18,9,20,41,17,16,15,24,15,5,3,3,5,6,2,2,7,1,3,0,4,2,8,1,5,7,9,1,4,5,6,3,6,7,4,2,2,3,4,2,8
558,4,2,1,5,3,1,6,1,2,0,5,2,2,1,2,1,12,11,6,10,9,2,7,16,11,4,15,6,2,6,8,11,3,1,1,1,4,2,1,4,0,0,1,4,3,1,0,1,24,13,70,18,20,17,56,30,15,20,47,11,13,12,33,14,8,4,2,2,2,5,2,2,2,8,0,7,4,7,2,10,6,9,0,1,13,3,2,2,6,10,2,2,3,6,1,4
559,4,3,2,1,3,2,1,5,0,0,3,1,0,1,0,2,8,5,8,25,2,8,8,25,3,5,2,4,6,5,9,18,2,4,3,4,1,2,2,4,4,1,1,2,1,0,0,2,16,10,50,20,15,17,55,16,15,13,35,16,20,18,32,14,7,2,3,3,2,7,5,3,1,3,0,4,5,6,0,10,4,8,0,3,6,10,1,4,7,3,2,3,5,6,1,5
560,8,2,0,1,4,3,7,3,2,2,0,0,5,2,1,0,7,7,16,28,9,6,13,15,5,0,7,10,8,6,5,16,4,2,3,1,0,2,3,3,0,4,3,3,5,2,1,2,11,21,53,15,27,26,67,19,15,19,41,9,15,21,32,22,5,4,4,6,5,5,4,11,1,6,2,3,5,1,1,9,8,5,3,5,1,4,6,4,3,7,2,4,3,2,1,3
561,5,1,1,4,4,4,5,0,1,1,3,3,5,0,0,1,7,8,7,15,8,7,21,14,9,12,10,2,5,3,3,14,0,1,1,0,1,5,2,5,2,0,6,4,5,0,1,3,19,12,55,11,21,20,71,19,14,13,45,10,11,14,32,9,6,5,0,1,8,5,0,2,1,4,2,6,4,5,2,9,5,11,2,4,1,11,1,2,4,9,4,4,3,10,2,3
562,4,2,1,3,3,5,5,2,3,1,3,2,2,0,1,2,13,7,5,11,9,18,10,20,4,2,11,11,4,3,3,9,0,2,3,1,1,4,2,4,0,3,2,3,0,0,1,1,25,15,61,11,22,28,63,18,8,14,40,14,8,23,25,11,7,2,0,4,5,5,4,4,1,5,0,3,3,3,4,6,4,11,1,7,7,8,1,6,8,10,7,1,3,7,2,3
563,4,1,4,4,3,3,8,6,2,3,2,3,1,1,1,0,13,7,10,18,5,8,13,19,7,5,6,2,5,10,5,18,1,2,4,3,1,2,6,4,2,5,2,3,1,2,1,1,22,15,68,18,13,26,68,34,13,20,54,10,12,14,40,13,4,2,0,7,4,5,8,8,0,5,0,4,5,6,2,5,8,13,5,4,3,3,2,3,7,10,4,4,3,6,0,2
564,6,0,5,6,1,5,6,2,2,2,3,1,2,0,0,3,13,14,9,16,3,13,15,22,4,6,6,10,6,5,5,18,3,2,2,3,2,1,2,6,1,4,1,5,3,1,1,2,23,10,46,16,17,18,50,16,11,20,36,17,16,13,36,9,4,5,4,5,4,6,0,9,3,3,2,2,6,4,2,4,4,8,5,4,4,6,1,1,5,7,4,6,2,5,2,4
