"BIN","AT_CG_AAA(TTT)","AT_CG_AAC(TTG)","AT_CG_AAG(TTC)","AT_CG_AAT(TTA)","AT_CG_ATA(TAT)","AT_CG_ATC(TAG)","AT_CG_ATG(TAC)","AT_CG_ATT(TAA)","AT_CG_CAA(GTT)","AT_CG_CAC(GTG)","AT_CG_CAG(GTC)","AT_CG_CAT(GTA)","AT_CG_CTA(GAT)","AT_CG_CTC(GAG)","AT_CG_CTG(GAC)","AT_CG_CTT(GAA)","AT_GC_AAA(TTT)","AT_GC_AAC(TTG)","AT_GC_AAG(TTC)","AT_GC_AAT(TTA)","AT_GC_ATA(TAT)","AT_GC_ATC(TAG)","AT_GC_ATG(TAC)","AT_GC_ATT(TAA)","AT_GC_CAA(GTT)","AT_GC_CAC(GTG)","AT_GC_CAG(GTC)","AT_GC_CAT(GTA)","AT_GC_CTA(GAT)","AT_GC_CTC(GAG)","AT_GC_CTG(GAC)","AT_GC_CTT(GAA)","AT_TA_AAA(TTT)","AT_TA_AAC(TTG)","AT_TA_AAG(TTC)","AT_TA_AAT(TTA)","AT_TA_ATA(TAT)","AT_TA_ATC(TAG)","AT_TA_ATG(TAC)","AT_TA_ATT(TAA)","AT_TA_CAA(GTT)","AT_TA_CAC(GTG)","AT_TA_CAG(GTC)","AT_TA_CAT(GTA)","AT_TA_CTA(GAT)","AT_TA_CTC(GAG)","AT_TA_CTG(GAC)","AT_TA_CTT(GAA)","GC_AT_ACA(TGT)","GC_AT_ACC(TGG)","GC_AT_ACG(TGC)","GC_AT_ACT(TGA)","GC_AT_AGA(TCT)","GC_AT_AGC(TCG)","GC_AT_AGG(TCC)","GC_AT_AGT(TCA)","GC_AT_CCA(GGT)","GC_AT_CCC(GGG)","GC_AT_CCG(GGC)","GC_AT_CCT(GGA)","GC_AT_CGA(GCT)","GC_AT_CGC(GCG)","GC_AT_CGG(GCC)","GC_AT_CGT(GCA)","GC_CG_ACA(TGT)","GC_CG_ACC(TGG)","GC_CG_ACG(TGC)","GC_CG_ACT(TGA)","GC_CG_AGA(TCT)","GC_CG_AGC(TCG)","GC_CG_AGG(TCC)","GC_CG_AGT(TCA)","GC_CG_CCA(GGT)","GC_CG_CCC(GGG)","GC_CG_CCG(GGC)","GC_CG_CCT(GGA)","GC_CG_CGA(GCT)","GC_CG_CGC(GCG)","GC_CG_CGG(GCC)","GC_CG_CGT(GCA)","GC_TA_ACA(TGT)","GC_TA_ACC(TGG)","GC_TA_ACG(TGC)","GC_TA_ACT(TGA)","GC_TA_AGA(TCT)","GC_TA_AGC(TCG)","GC_TA_AGG(TCC)","GC_TA_AGT(TCA)","GC_TA_CCA(GGT)","GC_TA_CCC(GGG)","GC_TA_CCG(GGC)","GC_TA_CCT(GGA)","GC_TA_CGA(GCT)","GC_TA_CGC(GCG)","GC_TA_CGG(GCC)","GC_TA_CGT(GCA)"
1,0.0038,0,0,0,0,0,0.0049,0,0,0,0,0,0,0.0041,0,0.0056,0,0,0.0046,0.0045,0.0144,0,0.0049,0.0041,0.018,0.0038,0.011,0.0048,0,0.0041,0,0,0.0019,0,0,0,0.0048,0,0,0,0,0,0,0,0,0,0,0,0.0066,0,0.0138,0.0049,0.0077,0.0093,0.0045,0.0045,0.0126,0.0065,0.0119,0.0175,0.0086,0.1429,0.0303,0.0171,0.0033,0,0,0,0,0,0,0,0.0042,0,0,0,0,0,0,0,0,0,0,0.0049,0,0,0,0,0.0042,0.0131,0,0.0044,0,0,0,0
2,0,0,0,0.0015,9e-04,0.0011,0,0,8e-04,0.0018,0.0022,0,0,0,0.001,8e-04,0.0016,0.0027,0,0.0023,0.0026,0.0023,0.0021,0.0032,0.0024,0.0028,0.0043,0.0021,0.0035,0.0017,0.001,8e-04,8e-04,0,0,0,0.0017,0.0011,0.001,0,0,9e-04,0,0,0.0012,0,0,0,0.0051,0.0061,0.0213,9e-04,0.0015,0.0121,0.0043,0.0026,0.0019,0.0022,0.0174,0.0039,0.021,0.0619,0.018,0.0086,0,0.0035,0.0018,0.0018,0.0015,0,0.0026,0.0017,9e-04,0.0011,0.0019,8e-04,0.0038,0,0,0,0.0022,0.0017,0.0036,9e-04,0.0029,0,9e-04,0.0017,9e-04,0.0022,0.0019,8e-04,0,0.0052,0.0018,0.0017
3,0.0011,0.0014,0,0.0013,0.0018,0.0018,0.0017,0.0014,0.0014,0,0.0023,0,0,0.0021,0.0011,0,0.0027,0.0043,0.0054,0.0054,0.0108,0.0053,0.0017,0.0041,0.0014,0.0066,0.0023,0.0019,0.0017,0.0014,0.0011,0.0027,0,0,0.0014,0,0,0,0,0,0,9e-04,0.0011,0,0.0017,0.0021,0.0033,0.0013,0.0085,0.008,0.0154,0.0034,0.004,0.007,0.0049,0.0063,0.0039,0.0041,0.0181,0.0017,0.0239,0.0447,0.0168,0.0184,0,0.001,0,0.0022,0.002,0.0017,0.0016,0.0013,0,0.002,0.0012,0.0017,0.0037,0.0022,0,0,0.0012,0.003,0,0.0022,0,0,8e-04,0,0.0029,0,0.0012,0.0017,0.0037,0.0045,0,0.0037
4,9e-04,0.0011,0,0,0.0051,0.0014,0,0.0028,0.0011,7e-04,8e-04,0.0031,0.0029,0.0011,8e-04,0.0013,9e-04,0.0023,0.0049,0.0071,0,0.0072,0.0061,0.0085,0.0034,0.0027,0.0047,0.0076,0.0058,0.0022,0.0016,0.0038,5e-04,0.0011,0.0012,0.0014,0.0026,0.0014,0,0,0,0.0013,0,0.0015,0,0.0017,8e-04,0,0.0075,0.0088,0.012,0.0038,0.0041,0.0085,0.007,9e-04,0.0072,0.0051,0.0184,0.0057,0.0191,0.0437,0.0138,0.0219,9e-04,0.0022,0.0013,0.0028,0.0033,0,0.0014,9e-04,7e-04,0.0026,8e-04,7e-04,0.0012,0.0013,0.0023,0,0.0019,0.0037,0.0027,9e-04,0.0049,0.0012,0.0014,0,0.0036,0.0019,0.0015,7e-04,0.0012,0.004,8e-04,0.0014
5,5e-04,0.0014,0,0,0.002,0,0.0018,0.0014,0.0013,0.0019,0,0.0016,0.0018,8e-04,0.001,0.0016,5e-04,0.0041,0.0015,0.0058,0.002,0.0033,0.0054,0.0014,0.0053,0.0028,0.003,0.0097,0.0037,0.0015,0.002,0,5e-04,0,0,0.0014,0,0.0016,0,0.0014,0,0,0,0,0,0,0,0,0.0048,0.0048,0.0116,0.0081,0.0033,0.0138,0.0045,0.0021,0.0066,0.006,0.0133,0.0036,0.0126,0.0371,0.0152,0.0134,0,0.0029,0,0.0023,0.0022,0,0.0027,0.0021,9e-04,0,0.0036,0.0018,0.0047,0.005,0.0012,0,0,0.001,0.005,0.0012,0,0,0,0,0.0019,0.001,0.0012,9e-04,0,0.0099,0.0023,0.0017
6,0.0018,0.003,0,0,0,0,0.0019,0,0,0,0.0024,0,0.0019,0.0016,0.0012,0,0.0012,0.0044,0.0041,0.0069,0.0137,0.0019,0.0074,0.0036,0.0048,0.004,0.0035,0.0019,0.0038,0.0023,0.0023,0.0054,0.0018,0,0.0021,0.0017,0.0039,0,0,0.0018,0,0.001,0,0,0,0,0.0012,0,0.0052,0.0021,0.015,0.0024,0.0023,0.0162,0.0021,0.0026,0.0032,0.0051,0.0168,0.0065,0.0149,0.0542,0.0109,0.0039,0,0.0011,0,0.0036,0,0.0036,0.0041,0,0,0.0025,0.0039,0.0011,0.0017,0.0074,0.0027,0,0.0026,0.0021,0,0.0012,0,0,0,0.0013,0,0.0013,0,0.0022,0.0033,0.0025,0.0014,0.0019
7,0,0,0.003,0,0.0058,0,0,0.0033,0,0,0,0,0.0032,0.0011,0,0.0025,0.0012,0.0068,0.003,0.0058,0.0058,0,0,0.0066,0,0.0051,0,0.0034,0,0.0011,0.0046,0.0025,0,0,0,0,0,0,0,0.0033,0,0.0013,0,0,0,0,0,0,0.0075,0.0096,0.0097,0.0039,0.0018,0.0172,0.0065,0,0.0041,0.0018,0.0097,0.005,0.0185,0.0333,0.0091,0.0126,0.0019,0.0014,0.0024,0.0019,0.0018,0.0022,0.0013,0.0021,0.0014,9e-04,0,0.0025,0.0046,0,0,0.0025,0.0019,0,0.0049,0.0019,0,0.0065,0.0013,0,0.0014,0.0018,0,0.0025,0.0023,0.0018,0.0026,0.0025
8,9e-04,0,0,0.001,0,0,0.0015,0.0019,0.001,0,9e-04,0,0,0.0012,0,0.001,0.0021,0.0049,0.0011,0.0029,0.0087,0.0041,0.0088,0.0029,0.001,0.004,9e-04,0.0088,0.0041,0.0024,0.0033,0.001,0.0013,0,0.0011,0.001,0.0014,0.0014,0,0,0.001,0,0,0.0029,0.0014,0,8e-04,0,0.0047,0.0068,0.0138,0.0091,0.0022,0.0193,0.0057,0.0019,0.007,0.0035,0.01,0.0028,0.0127,0.037,0.02,0.0163,0,0.0015,0.0015,0,0.003,0.0014,0,0.001,0.0016,9e-04,0.0011,0,0.0014,0,0.0011,0,0,8e-04,0,9e-04,0.0022,0.0028,0.0014,0,8e-04,0.0026,0.0033,7e-04,0.0014,0.0028,0.0011,0.003
9,0,0,0,0,0.0034,0,0,0,0.0025,0.0044,0.0034,0,0,0,0,0,0.0018,0.0095,0.0022,0.0055,0.0067,0,0,0.0027,0.005,0.0015,0.0034,0.0031,0.0086,0,0.0031,0.0021,9e-04,0,0,0.0028,0,0.0031,0.0062,0,0,0,0.0017,0,0.0029,0.0012,0.0031,0,0.0133,0.0061,0.0083,0.0019,0.0029,0.0118,0.003,0.0037,0.0031,0,0.0169,0.0041,0.0056,0.0563,0.0085,0.0103,0,0,0,0.0019,0.0015,0.0029,0,0.0037,0.0047,0,0,0,0,0,0,0,0.0038,0.003,0.0028,0,0.0015,0,0.003,0,0.0016,0,0.0072,0.0027,0.0056,0,0.0021,0
10,0.0012,0,0,0,0,0.0028,0,0,0.0028,0.0015,0,0,0,0,0,0,0.0012,0,0.0029,0.0031,0.0029,0.0057,0.0069,0.003,0.0028,0,0,0.0056,0.0067,0,0,0.0032,0.0012,0,0,0.0031,0.0029,0.0057,0,0.003,0,0,0,0.0028,0,0,0,0,0.0066,0.0071,0.0182,0,0.002,0.0104,0.0095,0.009,0,0.0103,0.0123,0.0019,0.0101,0.0391,0.0155,0.014,0.0022,0.0071,0,0.0022,0,0,0.0016,0.0023,0,0.0017,0.0049,0,0.0034,0,0,0.0035,0,0.0018,0,0,0,0,0.0047,0,0.003,0.0017,0.0025,0,0,0.0056,0,0
11,0,0.0026,0,0,0.005,0,0,0,0,0.0017,0,0,0.0035,0,0,0,0.0026,0,0.0032,0,0,0.0034,0.0034,0.0062,0.0026,0.0017,0,0.0061,0,0,0.002,0.0035,0,0,0,0,0.005,0.0034,0,0,0,0,0.0024,0,0,0,0,0.0071,0.0022,0.0073,0.0098,0,0,0.0112,0.0083,0,0.0066,0.0045,0.0105,0.0064,0.0181,0.0575,0.0088,0.0292,0.0022,0,0,0.0022,0.0045,0,0.0021,0.0024,0,0,0,0.0042,0,0,0,0,0,0,0.0033,0,0,0,0.0021,0.0049,0.0049,0,0.0035,0,0.0036,0,0.0029,0
12,0.0012,0,0,0,0,0,0,0,0.0023,0,0,0,0,0,0.002,0.0024,0.0023,0.0023,0.0045,0.0052,0.0151,0,0.006,0,0,0,0.002,0.0029,0,0.003,0.002,0.0047,0,0.0023,0.0023,0,0.003,0,0.003,0,0,0,0.0041,0,0.0062,0,0,0,0.0053,0.0107,0.0067,0,0.0036,0.0066,0.005,0.0022,0.0035,0.0054,0.0146,0.0085,0.0068,0.0269,0.0098,0.0065,0,0,0,0.0021,0.0018,0.0033,0.0017,0,0.0035,0.0054,0,0,0,0.009,0.0025,0,0.0018,0.0018,0.0034,0,0,0,0.0017,0,0,0.0036,0,0,0,0.009,0,0
13,0.0014,0.0018,0.0014,0,0.0016,0.002,0,0,0.0017,0.0025,0,0,0,0,0,0,0,0,0.0014,0.0051,0.0065,0.0061,0.0048,0.0028,0,0.0012,0.0037,0.0019,0,0,0.0015,0.0018,0,0.0035,0.0014,0,0.0016,0,0.0024,0,0,0,0,0.0038,0,0,0.0015,0,0.0043,0.0062,0.0146,0.0055,0.0046,0.0054,0.0029,0.0036,0.0045,0.0048,0.0073,0.0029,0.0114,0.0227,0.009,0.0122,0.0011,0,0.0029,0,0.0012,0,0,0.0036,0,0.0016,0.0049,0,0.0057,0,0,0.0061,0.0022,0,0.0058,0.0018,0.0023,0.0027,0,0,0,0,0.0049,0.0014,0,0.0045,0,0
14,9e-04,0.0018,0,0,0,0,0,0,0,0.0017,0,0.0043,0.0028,0,0.0017,0,0,0,0,0.0018,0,0,0.0045,0,0,0,0.0018,0.0022,0,0.0028,0,0.0036,0,0,0,0.0018,0,0,0,0,0.0035,0.0017,0,0,0,0,0,0,0.008,0.003,0.0218,0.007,0.0049,0.0088,0.0044,0.0035,0,0.005,0.0132,0.0028,0.0125,0.0629,0.0126,0.0093,0,0,0,0,0.0016,0,0,0.0018,0,0.0033,0,0.0028,0.0031,0.0057,0,0,0.0016,0.0015,0,0,0.0016,0.0029,0.0029,0.0035,0.003,0.0017,0.0026,0,0,0,0,0.0031
15,0.0014,0,0,0,0,0,0,0,0.0035,0,0,0,0,0.0025,0.0036,0,0.0028,0,0.0035,0.0034,0.0089,0.0158,0.0051,0.007,0,0.0051,0,0.0106,0,0.0025,0.0072,0,0,0,0,0.0068,0.0044,0,0,0,0,0,0,0,0.0053,0,0,0,0.0058,0.0032,0.0258,0.007,0.0027,0.0124,0.003,0.0131,0.0063,0,0.0193,0.0031,0.017,0.01,0.0196,0.0112,0,0,0.0052,0,0,0,0.003,0.0033,0,0,0,0.0062,0.0057,0,0,0,0.0058,0,0,0,0,0,0,0,0,0.004,0,0,0.0057,0,0,0.0056
16,7e-04,6e-04,5e-04,0.001,6e-04,0,0,0,0.0012,0.0017,0,7e-04,0,5e-04,6e-04,0,7e-04,0.0012,5e-04,0.0037,0.0019,0.0016,7e-04,0.0011,0.0025,0.0012,0.0025,0.0014,0.004,0,6e-04,0.001,7e-04,0,0,5e-04,0,0,0.0013,0,6e-04,6e-04,0,0,8e-04,0,0,0,0.0052,0.003,0.0032,0.0016,0.0013,0.0096,5e-04,0.0017,0.0037,0.0032,0.0076,0.0026,0.0053,0.0553,0.0055,0.0067,0.0014,0.0012,0,5e-04,9e-04,0.0024,5e-04,6e-04,0.0012,6e-04,0,0,0.0011,0,0,0.0011,0.0024,6e-04,0.0042,5e-04,0.0018,0,0.0021,6e-04,6e-04,0,0.0038,0.0015,0.0011,0.005,0,0
17,0.0016,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0.0016,0.0018,0,0.0018,0.0121,0,0.0022,0.0158,0.0059,0,0,0,0.005,0,0.0043,0.0017,8e-04,0,0.0019,0.0035,0.002,0.0027,0,0,0.0039,0,0.002,0,0.0025,0,0,0,0.0066,0.0091,0.019,0.0089,0.0014,0.0297,0.0074,0.0019,0.0057,0.0044,0.0142,0.0093,0.0263,0.049,0.0115,0.0106,0.0017,0.0036,0,0.0018,0.0014,0,0.0037,0.0039,0.0019,0,0,0,0.0038,0,0,0.0035,0.0017,0,0.0076,0,0,0.0037,0.0018,0,0.0019,0,0.0071,0.0019,0.0113,0.0098,0.0076,0
18,0,0,0.0016,0.003,0.0026,0,0.0017,0,0,0,0,0,0,0,0,0,0.0022,0.0056,0,0.003,0.0052,0,0.0087,0.0046,0.0036,0.0015,0,0.0021,0.0054,0,0.0037,0.0016,0,0,0,0.0015,0,0,0,0.0031,0.0018,0,0,0,0,0,0,0.0016,0.0029,0.0013,0.0037,0,0,0.0092,0.0028,0,0.0061,0.005,0.0107,0.0026,0.0095,0.0373,0.018,0.0156,0.0015,0,0,0.0016,0.0039,0.0031,0.0014,0,0,0,0,0.0013,0,0.0075,0.003,0,0,0.0053,0,0,0.0026,0,0,0,0.003,0.0017,0.0027,0.0026,0.0032,0,0.003,0
19,0.0017,0.0035,0,0,0,0.0043,0,0,0,0,0,0.0083,0,0,0,0,0.0017,0.0035,0,0,0.0059,0,0,0.0083,0.0034,0.0021,0,0,0,0.0015,0.0021,0,0,0,0,0,0,0.0085,0.0047,0,0,0.0062,0,0,0,0.0015,0.0021,0,0.0023,0.0024,0.009,0.0052,0.0062,0.0128,0.0032,0.0029,0.0087,0.003,0.0098,0.0017,0.0073,0.0335,0.019,0.0081,0,0,0,0,0.0021,0.0064,0,0.0029,0,0.0015,0.0049,0.0017,0,0,0,0.0081,0.0023,0,0,0.0026,0,0,0.0016,0,0,0.003,0,0,0,0,0.0071,0
20,0.0014,0.0033,0,0,0,0,0,0,0,0,0.0026,0,0,0,0,0.0028,0.0042,0,0,0.0034,0,0,0.008,0.0069,0.0068,0.0022,0.0026,0,0.0043,0.0036,0.0026,0,0,0,0,0,0.0045,0,0,0.0034,0,0.0022,0,0,0,0.0018,0,0,0.0028,0.0021,0,0.0082,0.0043,0.0084,0.0066,0.0052,0.0045,0.0048,0.0152,0.008,0.0095,0.06,0.0248,0.0244,0,0,0,0,0.0065,0,0.0044,0.0026,0,0.0024,0,0.002,0.0047,0,0,0,0.0028,0,0.01,0,0,0,0.0022,0.0026,0.0045,0,0.0038,0,0,0.01,0,0
21,0.002,0.005,0,0,0,0.0028,0.0027,0,0,0.0033,0,0,0,0.0015,0,0.0027,0.0049,0,0,0.0104,0.0028,0,0.0027,0.0057,0.0045,0.0033,0.0039,0.0087,0,0,0.002,0,0.001,0,0,0,0.0028,0.0028,0,0.0028,0,0.0017,0,0,0,0,0.0041,0,0.0115,0.0087,0,0.0041,0,0,0.0088,0.0059,0.0034,0.0024,0.017,0.0052,0.0068,0.0522,0.0134,0.0035,0,0,0.0036,0.0021,0,0.0031,0.0035,0.0039,0,0,0,0.007,0.0068,0.0149,0.0027,0,0,0.0035,0,0,0,0,0,0,0,0,0.0085,0.0017,0.0034,0.0075,0.0027,0
22,0.0027,0,0,0.0022,0,0,0,0,0.0022,0.0015,0,0,0.0028,0.0034,0,0,0,0.0022,0.0025,0.0044,0,0,0.0028,0.0045,0.0044,0.0059,0.0049,0.0026,0.0028,0.0034,0.0034,0.0072,9e-04,0,0,0.0022,0.0032,0.0051,0,0.0023,0,0,0.0016,0.0053,0,0,0,0,0.0037,0.0016,0.026,0.0017,0.0032,0.0216,0.0068,0.0036,0.009,0.0034,0.0186,0.003,0.0164,0.0432,0.011,0.0133,0,0,0,0.0017,0.0032,0,0.0014,0.0018,0.0015,0,0.0021,0.0015,0.0055,0,0,0,0,0,0,0,0.0032,0.0081,0,0,0.0015,0,0.0021,0.0015,0,0,0.0022,0.0027
23,0.0018,0.0024,0,0,0,0,0.0017,0.0011,0.0022,0.002,0,0,0,0,0,0,0.0023,0.0035,0.001,0.0035,0.0015,0.0062,0,0.0068,0.0011,0.0039,0.0042,0.0032,0,7e-04,0.002,0.0011,0,0,0,0.0035,0.003,0.0015,0.0017,0,0,0,0.0032,0.0016,0.0015,0.0014,0.001,0,0.0053,0.0084,0.0153,0.0043,0.0023,0.0083,0.0072,0.001,0.0065,0.0046,0.0162,0.0045,0.012,0.0574,0.0127,0.0114,0.0011,9e-04,0,0.0011,0.0015,0.0017,9e-04,0,0.0028,0.0012,0.0032,0.0018,0,0.0096,0.0016,0.0038,0,0.0037,0,0,8e-04,0.0017,9e-04,0,0.0028,0.0046,0.0016,9e-04,0.0017,0,0.0032,0.0038
24,0.0017,0,0,0.0023,0,0,0,0.0024,0,0,0.0019,0.0029,0.0033,0.0013,0.0019,0,0,0,0.0028,0,0.0033,0,0.0031,0.0048,0.0021,0.0017,0.0019,0.0115,0.0098,0.0013,0,0.0024,9e-04,0.002,0,0.0023,0.0033,0,0,0,0,0,0.0019,0.0029,0.0033,0.0013,0,0.0024,0.004,0.0017,0.0112,0.0073,0.0049,0.0121,0.0035,0.0042,0.0067,0.0062,0.0078,0.0056,0.0239,0.0714,0.0255,0.0236,0.004,0.0017,0,0,0,0,0.0017,0,0,0.0021,0,0.0019,0,0,0.0057,0.0029,0,0.0017,0.0037,0.0018,0,0,0,0,0.0017,0,0.0078,0.0019,0,0,0,0
25,0.0011,0,0.0013,0,0.0017,0,0,0,0,0,0.0012,0,0.0017,9e-04,0,0,0.0011,0,0.0013,0.0014,0.0035,0.0054,0.0017,0,0.0013,0.0068,0.0049,0.0053,0.0035,0.0027,0.0037,0.0013,0,0,0,0.0014,0,0.0018,0,0,0,0.0023,0,0,0,0,0,0,0.0072,0,0.0108,0.0035,0.0029,0.0076,0.0055,0,0.0034,0.0073,0.0073,0.0074,0.021,0.0783,0.0108,0.02,0,0.0011,0.0022,0.0024,0.0029,0,0,0,0.0011,0.0015,0,0.0011,0,0,0.0036,0,0,0.0033,0.0022,0.0012,0.001,0,0,0.0024,0.0011,0,0.0037,0.0011,0,0,0,0.006
26,0,0,0.0028,0.0027,0,0,0.0018,0.0014,0.0029,0.0021,0.0036,0,0,0,0.0035,0.0029,0.0011,0.003,0.0028,0.0013,0.0042,0.0017,0.0089,0.0041,0.0043,0.0053,0.006,0.0019,0.0034,9e-04,0.0012,0.0015,0.0011,0.0015,0,0.0013,0,0,0.0018,0,0,0.0021,0,0.0037,0,0,0.0012,0,0.0068,0.0031,0.0104,0.0061,0.0031,0.0058,0.0043,0.0047,0.0064,0.0065,0.0118,0.0031,0.0116,0.0731,0.0216,0.0168,0.0027,0.001,0,0,0,0,0.0043,0.0023,0.0021,0,0.0017,0.0021,0,0.0046,0.0067,0.0042,0.0014,0.0031,0.0042,0,0,0.0019,0.0011,0.0012,0,0,0,0.001,0,0.0046,0,0
27,5e-04,0,0.0012,0.0012,0,0,0.0016,0,0.0024,9e-04,9e-04,0.0016,0.0015,0,0.0019,0.0012,0.001,0.0012,0,0,0,0.0031,0.0047,0,0.0012,0.0034,0.0037,0,0.0015,0.0028,0.0019,0.0012,5e-04,0.0012,0,0,0,0.0016,0.0016,0.0023,0.0024,0,9e-04,0.0016,0.0015,0.0014,0.001,0,0.0091,0.0114,0.0158,0.002,0.0045,0.0087,0.0055,0.0031,0.0044,0.0052,0.0136,0.005,0.0131,0.0399,0.0123,0.0162,0,9e-04,0.0018,0,9e-04,0.0015,8e-04,0.0031,0,0.0026,0,0.0017,0.0029,0.0017,0,0.0016,0.001,0.0017,0,0.001,0.0045,0,0,0.001,0.0026,9e-04,0.0019,0,0,0.0017,0,0.0032
28,0.0026,0,0,0.0019,0,0,0,0,0.0016,0.0021,0,0.0045,0,8e-04,0,0.0019,6e-04,0.005,0.0018,0.0019,0,0,0,0.002,0.0016,0.0021,0.0059,0.0068,0.0024,0.0025,0.0012,0.0039,6e-04,0,0,0.0019,0.0031,0,0.0023,0.002,0.0016,0.001,0.0012,0,0,8e-04,0,0.0019,0.0072,0.0063,0.0062,0.0014,0.0026,0.0125,0.0011,0.0025,0.0043,0.0031,0.0174,0.0042,0.0074,0.0355,0.0156,0.0292,0.0014,0,0.0021,0,0.0064,0.0018,0,0.0013,0.0021,0.001,0.0013,0.0021,0.0055,0.0044,0,0,0,0.001,0.0062,0.0014,0.0013,0.0054,0.0011,0.0013,0.0021,0.0021,0.0013,0.0011,0,0,0,0.0021
29,9e-04,0,0.0045,0,0,0,0.0067,0,0.0013,0.0025,9e-04,0,0.0015,6e-04,9e-04,0,0.0014,0.0012,0.0015,0.0054,0.0091,0.0014,0.005,0.0013,0,0.0017,0.0036,0.0031,0.0029,0,0.0063,0,9e-04,0.0023,0.0015,0.0014,0.001,0,0.0017,0,0.0026,0,0,0,0.0015,0,0.0045,0,0.0066,0.005,0.0156,0.001,0.0025,0.0145,0.0045,0.0031,0.0043,0.002,0.0108,0.0045,0.0042,0.0426,0.0094,0.009,0.0011,0.0033,0,0.003,8e-04,0,7e-04,0.001,0,7e-04,0,0,0,0.0039,0,0,0.0011,0.0017,0.0016,0.002,8e-04,0.0014,0,0.001,0.0026,0.0014,0,0,0,0.0019,0,0
30,6e-04,0.0029,0.0018,0.0016,0,0,0,0,0.0014,0.0019,0.0011,0,0,0,0,0,0.0012,0.0043,0.0036,0.0016,0.0064,0.0071,0,0,0.0042,0.0039,0.0032,0.0037,0.0036,0,0.0042,0.0018,6e-04,0,0,0,0,0,0.0038,0,0,0.0029,0,0,0,8e-04,0.0011,0,0.0089,0.0036,0.0217,0.0088,0.0079,0.0137,0.002,0.0035,0.0056,0.0095,0.0125,0.0019,0.0117,0.0612,0.0214,0.012,0,9e-04,0,0.0025,0.0045,0,0.0029,0.0012,9e-04,0.0021,0,0,0.0017,0,0.0013,0,0.0013,0,0.004,0.0025,0.0023,0,0.001,0,0.0037,0.0042,0,9e-04,0,0.0087,0.0013,0.002
31,0.0012,0.001,0,0.0012,0.002,0,0,0,0.001,0.0028,7e-04,0.0014,0,5e-04,0.0015,0.0012,0.0016,0.001,0.0012,0.0036,0.004,0.0025,0.0071,0.0024,0.003,0.0028,0.0037,0.0057,0.0078,5e-04,0.0059,0.0012,0,0,0,0,0.004,0.0013,0.0014,0.0012,0,7e-04,7e-04,0.0014,0,5e-04,7e-04,0.0024,0.0038,0.0035,0.0109,0.0068,0.0046,0.018,0.0027,0.005,0.0041,0.0065,0.0125,0.0035,0.0188,0.0429,0.0181,0.0099,0.001,0.0014,0.0012,0.0034,8e-04,0.0011,0,0,0.0014,0.0014,0.0031,7e-04,0.0011,0.0014,0,0.0025,0.0019,7e-04,0.0012,0,0.0023,0.0011,7e-04,0.0017,7e-04,0.0014,8e-04,7e-04,0,0.0014,0,0
32,0.001,0.001,0,0.0021,0,0,0.004,0.0022,0.002,6e-04,0,0.0013,0,5e-04,0.0014,0,0.001,0.003,0.0048,0.0021,0.0034,0.0023,0.0093,0.0033,0,0.0013,0.0014,0.0106,0.0012,0.001,0.0021,0.0011,0,0,0.0012,0,0,0.0012,0,0.0022,0,0.0013,0,0.0013,0.0012,5e-04,0,0,0.0065,0.0045,0.0077,0.006,0.0056,0.0116,0.0045,0.0024,0.0032,0.0052,0.0146,0.0039,0.0175,0.033,0.0199,0.0142,0,6e-04,0.0013,7e-04,7e-04,0.0011,0.0013,0.0016,6e-04,7e-04,0.0016,0.0013,0.0023,0,0.0024,0.0024,0,0.0013,0.0013,0,0.0028,0,0.0019,0,0.0013,7e-04,0,0,0.0023,0.0033,8e-04,0
33,9e-04,0.0012,0,0,0.0026,0,0,0,0.0012,8e-04,9e-04,0,0,0,0,0.0029,0.0013,0.0037,0.0014,0.0058,0.0078,0.0033,0.0016,0.0041,0.0025,8e-04,9e-04,0.0101,0.0074,6e-04,0.0017,0.0015,0,0,0,0.0015,0,0.0016,0.0016,0.0014,0.0012,0,0,0,0,6e-04,0,0.0015,0.007,8e-04,0.0164,0.005,0.0065,0.0119,0.0024,0.0039,8e-04,0.0027,0.0165,0.0046,0.0095,0.0435,0.0153,0.0133,0.0023,8e-04,0.0015,0.003,9e-04,0,0.0016,0.001,8e-04,0,0.0031,8e-04,0.0041,0.0023,0,0,0.0023,0,0.0045,0,9e-04,0.0015,8e-04,0.001,0.0016,0,0.0021,8e-04,0.0041,0.0046,0.001,0
34,9e-04,0.005,0.0013,0,0,0.0047,0.0016,0.0011,0,8e-04,0.001,0,0.0015,7e-04,0.0018,0.0014,0.0017,0.0025,0.0013,0.0047,0.0122,0,0.0047,0.0044,0.0012,0.0016,0.0019,0.0031,0,0.0035,0.0018,0.0028,4e-04,0.0025,0,0.0012,0,0.0016,0,0.0022,0,0,0.001,0,0.003,0,9e-04,0,0.007,0.0062,0.008,0.0041,0.0037,0.0178,0.0035,0.0019,0.0036,0.0011,0.0076,0.0017,0.0078,0.0524,0.0146,0.0088,0,0,0.0016,0.0051,0,0.0032,9e-04,0.001,9e-04,0.0033,0,0.0017,0.0016,0.0052,0.0012,0,0.001,9e-04,0.0016,0.001,9e-04,0.0016,0,0,0,0.0011,0,0.0034,0.0016,0.0026,0.0049,0
