Category	BIN	exp	obs	odds	rk	res
AT_CG	602	68.533000810542	59	0.860899118704931	88	5bp
AT_CG	141	81.2527899329903	70	0.861508879359459	89	5bp
AT_CG	242	88.165694722205	76	0.862013283505143	90	5bp
AT_CG	578	78.8154998148076	68	0.862774456290695	91	5bp
AT_CG	156	89.2129306424646	77	0.863103582019854	92	5bp
AT_CG	469	72.9547589468486	63	0.86354887480197	93	5bp
AT_CG	566	76.4260220647581	66	0.863580207590501	94	5bp
AT_CG	309	56.5304099556771	49	0.866790105333017	95	5bp
AT_CG	493	49.5958048740231	43	0.867008814741954	96	5bp
AT_CG	174	81.8765737083541	71	0.867158904974497	97	5bp
AT_CG	581	71.4808165196229	62	0.867365581686938	98	5bp
AT_CG	340	72.5679363729005	63	0.868152012429645	99	5bp
